%% -------------------- Weather data for AquaCrop-OS ------------------- %%
Day       Month     Year      Tmin(C)        Tmax(C)        Prcp(mm)       Et0(mm)        
1         9         2004      9.81           33.23          0.00           5.74           
2         9         2004      10.72          33.96          0.00           6.95           
3         9         2004      11.71          33.44          3.96           6.95           
4         9         2004      15.51          30.41          6.91           4.44           
5         9         2004      9.86           20.83          0.00           3.45           
6         9         2004      8.89           26.66          0.00           4.17           
7         9         2004      7.04           30.61          0.00           5.85           
8         9         2004      9.55           32.39          0.00           5.86           
9         9         2004      14.92          36.20          0.00           5.94           
10        9         2004      11.51          30.63          0.00           5.00           
11        9         2004      9.02           31.85          0.00           4.87           
12        9         2004      8.03           36.91          0.00           6.82           
13        9         2004      12.17          31.27          0.00           5.83           
14        9         2004      12.02          29.88          25.00          4.84           
15        9         2004      6.78           21.69          0.00           3.75           
16        9         2004      4.95           28.51          0.00           4.26           
17        9         2004      11.05          32.64          0.00           3.96           
18        9         2004      9.40           35.39          0.00           5.73           
19        9         2004      20.51          28.98          0.00           5.66           
20        9         2004      14.59          29.88          0.00           4.62           
21        9         2004      6.65           14.86          15.00          0.47           
22        9         2004      5.72           11.64          16.00          0.96           
23        9         2004      4.81           22.35          0.00           3.60           
24        9         2004      5.53           25.29          0.00           3.34           
25        9         2004      5.01           24.64          0.00           3.25           
26        9         2004      6.38           25.36          0.00           3.54           
27        9         2004      7.77           23.78          0.00           3.08           
28        9         2004      7.43           18.28          7.00           1.82           
29        9         2004      11.44          25.43          0.00           3.09           
30        9         2004      9.02           25.49          0.00           3.02           
1         10        2004      1.45           13.60          4.00           1.78           
2         10        2004      0.73           23.19          0.00           2.78           
3         10        2004      5.40           25.62          0.00           3.46           
4         10        2004      3.23           20.37          0.00           2.79           
5         10        2004      3.29           22.88          0.00           2.66           
6         10        2004      11.05          20.11          81.00          1.42           
7         10        2004      5.66           26.08          0.00           2.70           
8         10        2004      5.28           21.10          0.00           2.95           
9         10        2004      1.98           23.07          0.00           2.70           
10        10        2004      8.09           21.95          0.00           2.11           
11        10        2004      7.70           14.74          2.00           0.53           
12        10        2004      5.66           22.08          0.00           2.77           
13        10        2004      -2.17          10.07          4.00           1.29           
14        10        2004      -1.84          17.95          1.00           1.41           
15        10        2004      1.98           9.61           6.00           0.59           
16        10        2004      0.86           19.14          0.00           2.04           
17        10        2004      -0.26          23.54          0.00           1.94           
18        10        2004      2.63           20.57          0.00           1.92           
19        10        2004      4.47           18.61          0.00           1.64           
20        10        2004      9.15           12.89          0.00           0.64           
21        10        2004      9.15           19.19          0.00           1.79           
22        10        2004      3.49           22.48          3.00           2.02           
23        10        2004      1.45           20.44          0.00           2.91           
24        10        2004      -0.26          16.44          0.00           1.60           
25        10        2004      -2.11          13.62          0.00           1.36           
26        10        2004      -1.77          18.47          0.00           1.42           
27        10        2004      6.99           19.54          0.00           0.65           
28        10        2004      10.32          27.20          0.00           2.95           
29        10        2004      3.82           16.32          0.00           2.57           
30        10        2004      0.79           17.49          0.00           2.94           
31        10        2004      -3.42          16.70          0.00           1.38           
1         11        2004      -1.71          5.54           1.00           0.12           
2         11        2004      -7.70          8.41           0.00           1.26           
3         11        2004      -8.95          17.41          0.00           1.74           
4         11        2004      -1.65          12.61          0.00           1.42           
5         11        2004      -4.34          24.77          0.00           3.21           
6         11        2004      -0.85          24.85          0.00           3.86           
7         11        2004      -4.34          18.07          0.00           1.65           
8         11        2004      -2.50          20.84          0.00           1.61           
9         11        2004      2.44           22.95          0.00           1.66           
10        11        2004      0.92           9.02           0.00           0.31           
11        11        2004      -7.97          5.72           0.00           1.05           
12        11        2004      -3.95          7.89           0.00           0.92           
13        11        2004      -3.16          4.75           0.00           0.82           
14        11        2004      -3.42          3.10           0.00           0.26           
15        11        2004      -6.45          14.61          0.00           0.86           
16        11        2004      -3.29          17.89          0.00           0.91           
17        11        2004      2.83           11.84          10.00          0.37           
18        11        2004      4.02           7.17           0.00           0.34           
19        11        2004      -3.56          9.40           0.00           0.68           
20        11        2004      -2.44          4.02           0.00           0.54           
21        11        2004      -2.50          1.40           0.00           0.12           
22        11        2004      -6.52          16.50          0.00           1.17           
23        11        2004      -5.99          2.04           0.00           0.59           
24        11        2004      -8.04          8.42           0.00           0.94           
25        11        2004      -3.49          15.59          0.00           1.32           
26        11        2004      -1.18          9.81           0.00           0.39           
27        11        2004      -4.54          3.68           12.69          0.82           
28        11        2004      -6.71          -4.87          4.29           0.10           
29        11        2004      -18.25         -4.75          0.00           0.25           
30        11        2004      -19.18         1.18           0.00           0.56           
1         12        2004      -16.01         1.31           0.00           0.67           
2         12        2004      -16.21         2.75           0.00           0.72           
3         12        2004      -16.28         6.71           0.00           1.14           
4         12        2004      -6.85          9.40           0.00           0.91           
5         12        2004      -6.71          1.65           0.00           0.19           
6         12        2004      -8.43          8.42           0.00           0.69           
7         12        2004      -7.71          10.32          0.00           0.96           
8         12        2004      -5.13          10.85          0.00           0.75           
9         12        2004      -3.03          10.92          0.00           1.41           
10        12        2004      -3.42          9.79           0.00           1.74           
11        12        2004      -3.49          19.54          0.00           1.55           
12        12        2004      -1.45          6.73           0.00           1.46           
13        12        2004      -11.00         3.74           0.00           0.62           
14        12        2004      -13.10         9.93           0.00           1.14           
15        12        2004      -6.32          11.64          0.00           1.17           
16        12        2004      -6.19          9.40           0.00           0.72           
17        12        2004      -5.86          12.83          0.00           1.74           
18        12        2004      -6.45          9.13           0.00           1.57           
19        12        2004      -8.10          10.27          0.00           0.83           
20        12        2004      -7.24          14.34          0.00           1.91           
21        12        2004      -9.35          2.70           0.00           0.61           
22        12        2004      -16.41         -3.03          3.65           0.31           
23        12        2004      -26.18         -8.03          0.00           0.25           
24        12        2004      -23.14         4.55           0.00           0.90           
25        12        2004      -4.80          9.86           0.00           1.21           
26        12        2004      -8.22          9.22           0.00           0.58           
27        12        2004      -6.78          7.83           0.00           0.43           
28        12        2004      -5.79          14.92          0.00           1.02           
29        12        2004      -6.32          8.30           0.00           0.55           
30        12        2004      -3.82          14.80          0.00           1.45           
31        12        2004      -5.92          12.11          0.00           1.47           
1         1         2005      -10.93         2.24           0.00           0.38           
2         1         2005      -11.53         -0.98          0.00           0.40           
3         1         2005      -5.53          -1.51          0.00           0.23           
4         1         2005      -16.80         -2.63          6.15           0.22           
5         1         2005      -24.99         -15.28         0.00           0.18           
6         1         2005      -26.18         -1.06          0.00           0.34           
7         1         2005      -17.27         -0.20          0.00           0.45           
8         1         2005      -14.23         0.52           0.00           0.36           
9         1         2005      -12.72         8.18           0.00           0.63           
10        1         2005      -8.49          -4.28          0.00           0.25           
11        1         2005      -6.32          -2.17          0.00           0.24           
12        1         2005      -10.47         0.80           0.00           0.39           
13        1         2005      -16.41         -4.99          0.00           0.38           
14        1         2005      -17.20         -13.25         0.00           0.30           
15        1         2005      -17.79         -7.90          0.00           0.32           
16        1         2005      -18.12         1.45           0.00           0.58           
17        1         2005      -12.58         2.75           0.00           0.47           
18        1         2005      -8.30          14.74          0.00           1.30           
19        1         2005      -1.97          16.32          0.00           1.17           
20        1         2005      -0.85          18.68          0.00           1.78           
21        1         2005      -1.64          16.32          0.00           2.19           
22        1         2005      -7.64          -1.00          0.00           1.13           
23        1         2005      -7.05          18.81          0.00           2.42           
24        1         2005      -1.45          20.77          0.00           1.80           
25        1         2005      -4.21          16.04          0.00           1.94           
26        1         2005      -6.85          9.80           0.00           1.05           
27        1         2005      -1.97          0.73           0.00           0.14           
28        1         2005      -5.79          3.23           0.00           0.29           
29        1         2005      -6.05          5.73           0.00           0.49           
30        1         2005      -1.18          1.71           0.00           0.18           
31        1         2005      -6.65          9.27           0.00           0.97           
1         2         2005      -8.69          8.41           0.00           0.81           
2         2         2005      -6.32          11.38          0.00           1.35           
3         2         2005      -5.79          15.65          0.00           1.77           
4         2         2005      -6.45          17.23          0.00           2.07           
5         2         2005      -6.45          15.65          0.00           1.55           
6         2         2005      -6.45          2.98           0.00           1.07           
7         2         2005      -8.69          -3.03          0.00           0.55           
8         2         2005      -11.59         -2.37          0.00           0.35           
9         2         2005      -9.74          5.99           0.00           1.42           
10        2         2005      -12.64         14.14          0.00           1.84           
11        2         2005      -11.00         18.68          0.00           2.72           
12        2         2005      -3.48          6.97           0.00           0.57           
13        2         2005      -2.50          14.99          0.00           3.38           
14        2         2005      -6.72          18.08          0.00           2.21           
15        2         2005      -10.07         2.50           0.00           0.37           
16        2         2005      -12.05         1.78           0.00           0.61           
17        2         2005      -9.94          9.73           0.00           1.90           
18        2         2005      -12.38         8.36           0.00           1.49           
19        2         2005      1.19           9.41           0.00           0.68           
20        2         2005      -2.44          14.92          3.08           1.99           
21        2         2005      -2.24          17.10          0.00           2.38           
22        2         2005      -3.55          7.77           0.00           1.40           
23        2         2005      -6.78          8.23           0.00           1.30           
24        2         2005      -9.88          12.70          0.00           2.13           
25        2         2005      -8.55          15.65          0.00           2.40           
26        2         2005      -5.79          15.91          0.00           2.29           
27        2         2005      -6.32          8.82           0.00           1.79           
28        2         2005      -10.80         5.39           0.00           1.79           
1         3         2005      -10.27         12.29          0.00           2.08           
2         3         2005      -4.87          15.18          0.00           2.71           
3         3         2005      -8.82          17.23          0.00           3.02           
4         3         2005      -7.05          19.06          0.00           3.14           
5         3         2005      -9.02          19.67          0.00           3.20           
6         3         2005      -4.60          19.14          0.00           4.46           
7         3         2005      -3.16          9.93           0.00           2.68           
8         3         2005      -6.46          11.00          0.00           2.02           
9         3         2005      -3.81          17.23          0.00           2.84           
10        3         2005      -6.92          12.83          0.00           3.75           
11        3         2005      -6.85          20.19          0.00           5.11           
12        3         2005      -0.46          17.44          0.00           4.54           
13        3         2005      -7.24          5.39           0.00           1.40           
14        3         2005      -7.51          5.99           0.00           1.78           
15        3         2005      -10.80         8.95           0.00           2.17           
16        3         2005      -9.74          14.34          0.00           2.96           
17        3         2005      -1.51          18.22          0.00           4.55           
18        3         2005      -11.73         5.99           0.00           1.87           
19        3         2005      -12.91         14.48          0.00           2.54           
20        3         2005      -6.58          13.95          11.52          1.79           
21        3         2005      -0.92          3.23           4.01           0.23           
22        3         2005      -0.79          2.57           0.00           0.58           
23        3         2005      -0.59          2.90           0.00           0.31           
24        3         2005      -0.79          6.91           0.00           0.57           
25        3         2005      -3.69          1.31           0.00           0.32           
26        3         2005      -5.46          8.82           0.00           0.85           
27        3         2005      -7.44          18.61          0.00           2.69           
28        3         2005      -3.75          24.46          0.00           3.02           
29        3         2005      1.84           19.52          17.00          2.77           
30        3         2005      1.91           15.05          0.00           3.17           
31        3         2005      -3.23          9.88           1.00           1.69           
1         4         2005      -5.72          16.30          0.00           3.22           
2         4         2005      -4.47          23.07          0.00           4.63           
3         4         2005      -2.44          23.27          0.00           3.33           
4         4         2005      -2.04          25.03          0.00           3.33           
5         4         2005      7.96           13.16          0.00           2.62           
6         4         2005      -0.59          18.28          0.00           4.52           
7         4         2005      -3.49          21.03          0.00           3.97           
8         4         2005      3.82           24.39          0.00           5.95           
9         4         2005      0.06           20.90          0.00           3.95           
10        4         2005      0.66           8.09           21.00          0.47           
11        4         2005      -2.44          8.29           0.00           1.32           
12        4         2005      -2.24          15.91          0.00           3.57           
13        4         2005      -1.84          14.13          0.00           2.46           
14        4         2005      1.98           20.06          0.00           2.76           
15        4         2005      1.12           12.37          0.00           1.77           
16        4         2005      0.14           20.31          0.00           3.10           
17        4         2005      4.09           26.76          0.00           3.84           
18        4         2005      8.36           24.70          0.00           3.72           
19        4         2005      9.48           25.49          0.00           4.10           
20        4         2005      8.62           16.44          17.00          1.79           
21        4         2005      4.15           14.28          1.00           2.95           
22        4         2005      -0.06          13.62          0.00           2.99           
23        4         2005      -5.33          14.00          0.00           3.05           
24        4         2005      -1.97          15.66          0.00           3.02           
25        4         2005      -0.01          13.69          0.00           3.55           
26        4         2005      -2.17          12.43          0.00           2.84           
27        4         2005      -1.31          12.76          5.00           2.16           
28        4         2005      -2.57          0.07           3.00           0.50           
29        4         2005      -2.24          6.38           4.00           1.44           
30        4         2005      -4.21          9.47           0.00           1.86           
1         5         2005      -5.99          9.15           0.00           2.18           
2         5         2005      -6.85          11.71          0.00           2.84           
3         5         2005      -0.65          16.18          0.00           2.97           
4         5         2005      2.63           22.61          0.00           4.16           
5         5         2005      5.74           26.24          0.00           4.47           
6         5         2005      7.83           28.06          13.00          4.22           
7         5         2005      7.57           20.97          3.00           3.65           
8         5         2005      3.89           18.42          0.00           2.69           
9         5         2005      5.01           24.85          0.00           4.79           
10        5         2005      6.58           24.57          0.00           4.35           
11        5         2005      2.83           14.67          30.00          0.39           
12        5         2005      1.91           19.40          0.00           3.46           
13        5         2005      3.43           17.56          0.00           3.69           
14        5         2005      3.63           18.60          0.00           3.97           
15        5         2005      3.63           23.60          0.00           4.83           
16        5         2005      9.15           28.92          0.00           5.50           
17        5         2005      12.43          29.38          0.00           6.84           
18        5         2005      4.75           26.55          0.00           6.24           
19        5         2005      8.56           32.32          0.00           6.86           
20        5         2005      10.54          35.75          0.00           8.45           
21        5         2005      14.47          32.52          0.00           7.97           
22        5         2005      9.15           27.73          0.00           6.44           
23        5         2005      11.24          31.86          5.00           6.27           
24        5         2005      12.43          26.63          11.00          3.05           
25        5         2005      9.08           19.14          1.00           3.58           
26        5         2005      7.83           20.25          0.00           3.90           
27        5         2005      5.27           23.80          0.00           5.32           
28        5         2005      4.42           25.03          0.00           4.83           
29        5         2005      8.89           13.82          3.00           1.58           
30        5         2005      8.16           11.51          30.00          0.85           
31        5         2005      7.83           20.18          0.00           3.55           
1         6         2005      6.78           26.22          0.00           5.87           
2         6         2005      12.30          22.48          6.00           2.96           
3         6         2005      9.88           21.36          8.00           2.54           
4         6         2005      9.02           20.64          0.00           3.30           
5         6         2005      8.09           26.61          0.00           5.55           
6         6         2005      11.00          32.52          0.00           7.71           
7         6         2005      14.15          30.68          0.00           7.32           
